id,group_id,prospect_id
1,9c92bb89-b243-4b37-894b-87c90dc2c7bc,538ba791-26c4-48da-87e1-8dddc048d4c6
2,9c92bb89-b243-4b37-894b-87c90dc2c7bc,9023d870-a6bb-4084-8638-ffa5dd0724d1
3,9c92bb89-b243-4b37-894b-87c90dc2c7bc,767094bd-e6be-4c7d-b012-07c4d67d0f7f
4,127c572a-edf7-40f1-83ef-ee861cb2b66d,e831159b-6321-4632-9adb-12b2a4c676c3
5,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,f3ea0fae-61f2-4c21-a94f-f9c2bcc044a3
6,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,9de5b2bf-8cbe-41fc-8e4d-c4eb48c541a3
7,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,1a3b6be5-da99-431c-bf03-d5ae5bd74a91
8,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,939c6abe-1e01-406e-a6b3-d93716b4df59
9,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,ba195323-9663-4ad8-98e8-68dec98e211c
10,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,6c1ad7bb-9ede-4ea6-bae9-ebf1143293c6
11,b3510fb8-86a3-4a54-8683-081a74bbca54,96c99b67-1686-41b7-a7bb-90c98070746a
12,67ecfeb6-b004-40f2-8da3-3ba319a542f3,e82a3f04-9e31-4bd9-8a1f-c96c32b34195
13,67ecfeb6-b004-40f2-8da3-3ba319a542f3,9023d870-a6bb-4084-8638-ffa5dd0724d1
14,9c92bb89-b243-4b37-894b-87c90dc2c7bc,e945fb4c-3905-489c-ba10-8000f060f090
15,b3510fb8-86a3-4a54-8683-081a74bbca54,276969cd-7f05-4853-9abc-a60798c56e3a
16,67ecfeb6-b004-40f2-8da3-3ba319a542f3,276969cd-7f05-4853-9abc-a60798c56e3a
17,67ecfeb6-b004-40f2-8da3-3ba319a542f3,ad164183-5afe-42c0-9176-98c8d05d7019
18,67ecfeb6-b004-40f2-8da3-3ba319a542f3,e945fb4c-3905-489c-ba10-8000f060f090
19,e504291f-07fb-46de-b552-b21e623569ba,92ccb2c9-20ca-462f-b12e-63937ce1af86
20,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,fb061452-021b-4ff0-adcb-211f50e64fb9
21,da204cb0-7dbe-4973-9234-7765eb5223fa,489713df-ab75-468c-a2bf-102933e5f911
22,0534131e-ca9a-4d02-a9bd-9f29fff44640,90c92899-7d65-479a-ac42-465cdc1652e6
23,0534131e-ca9a-4d02-a9bd-9f29fff44640,df89b994-a365-40b7-8d01-b73de7ebb8fa
24,da204cb0-7dbe-4973-9234-7765eb5223fa,1279eab1-2984-4424-9f20-42904ef93763
25,da204cb0-7dbe-4973-9234-7765eb5223fa,50d3a6f0-ebe8-43b7-96e5-a8249b490365
26,0534131e-ca9a-4d02-a9bd-9f29fff44640,739bcd99-17cb-4da2-ac44-9528cd84e6ac
27,da204cb0-7dbe-4973-9234-7765eb5223fa,d0c35c18-0cf6-485c-baa7-d4ea90b3bced
28,a38ca2b7-cf0a-49e9-95ad-e39823f2da36,46b01ffe-7bf0-4ccd-b178-f65b9aad5593
29,035186b7-a76b-4058-835b-1a4d14e054d9,f3ea0fae-61f2-4c21-a94f-f9c2bcc044a3
30,7f0393db-f20c-4b35-a9e1-529591602d69,939c6abe-1e01-406e-a6b3-d93716b4df59
31,035186b7-a76b-4058-835b-1a4d14e054d9,46b01ffe-7bf0-4ccd-b178-f65b9aad5593
32,035186b7-a76b-4058-835b-1a4d14e054d9,9de5b2bf-8cbe-41fc-8e4d-c4eb48c541a3
33,4130f423-853e-4422-a7bb-8cb69731f1c0,b8bd0c90-f561-4bec-98a4-4c9b3dab3b52
34,4130f423-853e-4422-a7bb-8cb69731f1c0,a37c5fe3-749b-4ee0-b158-2bfcf2d5066e
35,b81abd56-7a25-4359-b977-c95a3f3d5205,8a8e7562-fc1a-438e-bc5c-1fe1096575fd
36,e04f5763-2ce9-49b5-bfa7-cf9e44b2498e,22683713-c055-4db7-a187-1c4199e4cedd
37,e04f5763-2ce9-49b5-bfa7-cf9e44b2498e,8a8e7562-fc1a-438e-bc5c-1fe1096575fd
38,7cd1bd41-633b-4011-a583-a95f410cc5bb,62a47a7c-11b1-45fc-b331-8215d35706b7
39,7cd1bd41-633b-4011-a583-a95f410cc5bb,11edf21e-21c3-46d2-bfb8-b266510f7c6c
40,e72c462f-1491-40c3-a0d5-c85f05e72c72,a543bf1e-39ae-4f78-bdf3-ae5f41b9413b
41,2d22f59f-5ef6-4049-8f46-3295e7ce8824,63754699-3eff-440c-8265-18e111cd194a
42,74a2dec2-ee8c-4cd5-b221-5e136ed45a00,11edf21e-21c3-46d2-bfb8-b266510f7c6c
43,b81abd56-7a25-4359-b977-c95a3f3d5205,35a0d766-6e08-4873-b3ae-6467da867886
44,41c9c4fe-68e4-444c-92bf-59465ebb061a,f95916ce-409c-44af-822c-2d0570dac1d9
45,41c9c4fe-68e4-444c-92bf-59465ebb061a,63422c5d-382f-43e7-9afa-197494fa0458
46,9ff337e5-54e2-4a9a-9a94-b8bca1aa71cf,0a862a2c-880c-428e-b6e2-8c8ff48bc829
47,9ff337e5-54e2-4a9a-9a94-b8bca1aa71cf,2e360265-37c3-4a79-9466-f24b7ae51a6d
48,9ff337e5-54e2-4a9a-9a94-b8bca1aa71cf,3da451a1-47e9-4c5a-825c-6e322f217a0d
